M,p0,TAU,quantpred
0FC43650758066980B932B4,1,2,0.75
0FC6364977657483702E014,1,1,0.85
102F3661499656300F8CB48,0,1,0.85
103D34029894214438180AD,1,2,0.75
10403606614309208B4F899,1,1,0.85
106534177501745267505F8,0,4,0.55
107833736258694983DA0F6,0,5,0.45
10803423366744489AE9A74,0,4,0.55
10B733997941513755DA4F7,1,4,0.55
10BE341574432358534E6BB,0,5,0.45
10C433877914334473913B7,1,3,0.65
10DB3613960633171B01FED,0,2,0.75
10F23421958343585310F0A,1,4,0.55
110A3385690622464D938F9,0,7,0.25
1114363249989888777AEFB,1,2,0.75
114033893238494181BC473,0,3,0.65
115C3420657463108D42D2C,0,3,0.65
11773666158888686CCC19D,1,1,0.85
11813571056341470A56822,0,3,0.65
118B34040585298841D9E31,1,4,0.55
11963409515860140F02205,0,3,0.65
119D3424620789797D425F4,1,2,0.75
11C03408910013195A6C5EE,1,3,0.65
11DD3648079858431AED606,1,2,0.75
11EF3417247091230102B24,1,3,0.65
12023415685959759CD5AE8,0,2,0.75
12093401923645783B532BD,0,4,0.55
121633840136451485F7135,0,5,0.45
1217337273128666121D47C,1,4,0.55
12173403264591067B22F9C,1,3,0.65
1221340060534619474ADC7,1,5,0.45
122836266247458254B1BF0,1,1,0.85
122934083401492408B9FA1,0,6,0.35
12463632772769859EC0292,1,2,0.75
127733742842665545A6242,0,4,0.55
127936207735304049F28A1,1,3,0.65
127F3424158648248E8B98C,1,3,0.65
128533898443396548D0C3D,0,9,0.05
1286363113684240169C27A,1,2,0.75
12A534293619570564EB353,0,5,0.45
12A834246839645622812BE,1,4,0.55
12B83434094232238C1EE38,1,3,0.65
12EC359911357100659D1F9,1,2,0.75
131034257403024050D3853,1,3,0.65
1325338135631555149A064,0,6,0.35
132B33863499777382ACC27,1,1,0.85
13593389230189394591901,0,3,0.65
135B3415687485939769568,1,4,0.55
136E3410507783097262AB3,1,4,0.55
13743385222035006727B51,0,5,0.45
138A3603054810457C37B7E,1,3,0.65
13973413470362099C091B1,1,4,0.55
13C834293536416820179D6,1,3,0.65
13D736697422175494E48A4,1,1,0.85
13DF3418532596419ABCF3A,1,3,0.65
13E336437174203072139AF,1,1,0.85
141F338877299816474D05F,0,5,0.45
142336483180121873A15C4,1,1,0.85
143B3415536485476C3E48D,0,3,0.65
143C3619659214394910674,1,3,0.65
144136414693707062BF4CF,1,1,0.85
144C36599372616412F7836,1,1,0.85
147634324261313661437A5,0,2,0.75
14803428213627781630541,1,1,0.85
14813626801860387505D80,1,1,0.85
148B33973590462009246CC,0,6,0.35
148F34161457605562074AB,1,2,0.75
14913403180904173AF7B7F,1,5,0.45
14A035951046819858BB62F,1,3,0.65
14A03653601852764464A48,1,2,0.75
14B536897956847518244A4,1,2,0.75
14C33413165629780B7B808,1,2,0.75
14C433878539106919DB656,1,1,0.85
14CE3369124050597D7652B,1,5,0.45
14D734070824475167AF8E9,1,3,0.65
14E03643114194108A9D297,1,1,0.85
14ED342719669716453F4A2,1,2,0.75
14F1339210680260007430B,0,3,0.65
14F23563578833402082D6C,0,3,0.65
14F73641024330175F91CB8,1,4,0.55
14FC34041416057245FC027,0,3,0.65
15143651232758661AACBC7,1,3,0.65
152433643458398537C2FB4,1,5,0.45
15393639099056905ED1292,1,1,0.85
153D34160318177432F88CB,1,4,0.55
154334064849654608E3AD0,0,5,0.45
156E3584103601189C1425A,1,4,0.55
158833867135435803F421C,1,6,0.35
158C3428521549510D41708,1,3,0.65
159D34150035404524017E8,1,4,0.55
15A3363212871830117FDC0,1,1,0.85
15AA3612138568116096B9A,0,1,0.85
15B53372542225686ABFB97,1,4,0.55
15B533735711047828F6CEC,0,4,0.55
15CA3637411646648EA62D0,1,1,0.85
15D23382127852163D3170F,0,4,0.55
16253587468402258399F61,0,4,0.55
163E36023469819295B0D30,1,3,0.65
1648341991091577290E9DF,0,5,0.45
167036541903203541F2B8F,1,1,0.85
16743424960376209CCDAB2,1,3,0.65
1678337428773133320DEFF,0,4,0.55
16813611197485122C5E188,1,2,0.75
16943409495466027D7AA52,1,5,0.45
169734227420646015B3BD6,0,2,0.75
16A83366162784613415997,1,4,0.55
16AD3644554302638E05C91,1,1,0.85
16B034075675352666D597B,1,1,0.85
16B036138262333494830C2,1,2,0.75
16B5363849629065888560E,1,1,0.85
16BE34140623019940D315D,0,3,0.65
16BF3371065713071BBB791,0,5,0.45
16CF33878076654474054B6,0,4,0.55
16D8343197106926900E41E,1,3,0.65
16E634024415032369BA2A6,0,6,0.35
17203652969267212CFF108,1,0,0.95
17243387130669426129851,0,6,0.35
172E3422210028319754A27,1,2,0.75
173A3393242719796B8A0A0,1,6,0.35
173D3387360532200B275C6,0,2,0.75
1744338210974090119D453,0,4,0.55
174636418915400328A1616,1,1,0.85
178734097899259141F2DE6,1,3,0.65
17933415081775043072779,1,3,0.65
17A93426787267881A950F9,1,3,0.65
17B53663774151028EC3FA9,0,1,0.85
17B83418722447886799158,1,2,0.75
17C13386216304244E210F8,0,6,0.35
17C83428132723097AD768D,0,5,0.45
17D335961431743370DAA84,0,4,0.55
17D43365010472985F8B74A,0,5,0.45
17D43645037261269E21B66,1,3,0.65
17D834234289825015D4AA1,1,3,0.65
